0 137 i 915 i 520 i i i i 904 i i 236 i i 968 i i i i 527 i i i i i 654 i i i 571 i 545 i i i 296 803 i i 24 i 1 i i i 685 i i 96 i i i i i i i i i 642 i i i i 997 107 i i i i i 735 i i i 605 195 i i i i 176 i 302 i 199 546 i i 698 i i i i i 465 774 i i i i i 995 i i 885 116 207 i i 709 933 141 i i i i i i i i 511 203 i i 319 i i i i i i i 39 i i i i 912 748 i 561 i i i i i i i i i 2 i i 577 213 i 618 i 509 475 i i 687 i i i i i i i 68 i i i i i i i i i i 109 i i i i i i 901 388 i i i 659 i i 132 323 
i 0 i i i 899 i 930 i i 217 i 799 i i i i i i i i 577 749 i 995 i i i i i 511 i 783 739 i i i i i i 302 i 157 i i i 355 i i i i i 746 834 i i i 507 i i i 573 987 i 384 i i i 49 802 i 340 i i i 222 i i 997 i i i 531 687 i i i i i i i i 256 411 i i 406 i i i i i i 882 350 i i i i i i i i i i i i i 710 i i i 507 i 886 139 i i 322 i i 579 i i i i i 90 i i i i i i i i i i i 287 i 554 460 i i i i 157 235 712 i i i i i 37 i i 976 i i i 897 i i i 217 i i i i i i 127 766 i i i i i i i i i 619 i i i i i 
52 i 0 952 i 795 560 i i i i i i i 213 169 i i i i 303 i i 269 i i i i 457 i 404 i 670 i i i i i i i 214 i i i i i 541 i i 729 i i 529 i i i i 632 i i i i i 531 321 i i i i i i i 890 176 200 12 i 509 i i i i i i i i i i i 22 i i i i i i 398 i 55 i i i 67 i 390 i 382 i i 956 i i 941 55 i 483 i i i 187 i i i 620 756 i i i i i i 705 i i i i i i 772 i 157 i 22 i i 992 i i i 737 65 i i i i i i 551 i 570 i i 664 i i i i i 365 i 132 385 308 i i 794 i i i i i 605 489 369 i i 61 i 932 i i i i i i 313 i i i 156 
i 292 i 0 i i 903 693 520 i i i i i 956 273 i i 951 i i i 829 431 i i 940 278 930 i i i i i i 633 i i 507 34 i 33 932 i i i 421 i i i i i i i 917 789 i 408 i i i 89 629 i 255 i i 349 i i 481 i i 439 i i 936 i i i i 511 i i i 260 i 739 i i i i i 853 i i i i i i i i 787 423 i i 962 i i 396 292 i i 761 i i i i i 838 i i i 683 i i 809 431 i i i i 118 i i 149 845 i i 141 685 i i i i i 307 i i i 873 405 i i i i 495 i 72 856 i 243 237 i i i i 554 241 578 i i i i i 274 i i 734 971 i i i i i i 934 637 i i i i i i i i i i 832 924 
i i 673 i 0 i i i i i i i 600 832 i 643 i i i 326 i i i 344 709 400 i 313 i i i i i i 540 i i i i i 748 i 265 i i i 183 i i i i i i i i 392 i i i i 955 620 388 i i 977 76 145 i i i i i 373 i i i i i i 75 i i i i i i i i i i i i 282 i 368 i 711 i i i 701 263 i i i i i 372 i i i i i 887 i i i i 838 i 384 i i i i i i i i i i 712 105 573 i i i 930 i 695 707 i 244 i 787 i i i 904 i i i 790 i i i 260 i i i i i i i i i i i 636 i i i i 56 i i 637 i i 755 230 i 176 295 i i i i i i i i i 169 i i i i i 
i i i i i 0 57 i i 277 i i 212 i i i i i i i i i i i i 659 628 546 i i i 386 i i 534 i 285 788 399 206 i 320 i i 67 i 762 i 281 i i i i i i i i i i 674 i i i i i 5 i i 927 i i i i 495 49 i i i i i 652 i i i i i i i 49 i i i i i i i 822 912 i i i i i i i i i i 923 i i i 963 i i i 290 i i i i i i i i 588 i i i i i i i i i 513 i i i i i i i i 212 i i i i i i i i i i i i i i i i i i 65 318 i 938 i 977 i 490 i i i 94 i i 539 i i 141 i i i i i 445 i i i i i i i 268 i i i 525 i 
i 619 i i i i 0 883 i 757 i i i 177 i 20 939 i i i i i i 11 i i 657 i 963 i i 450 i i i 853 848 i i 260 i 712 i 404 i i i 35 i i 67 905 i 118 956 i 279 155 i i 351 i 700 i 712 i i 118 i i 509 609 i 327 i i i 518 920 i 979 i i i 740 361 i i 918 i 994 i i i i i i i 372 168 i 537 i i 873 i i i i 209 i i i i i 66 i i i i 30 i i i i i i 502 i i i i 253 199 i 199 i i i 435 i i i 15 i i i i 826 i i 294 i i i i 634 i i i i i i i i i 549 607 i i i i 386 644 i i 247 i i i i i i i i i 511 i 98 i i i i 108 i 416 i 963 335 i 
i i i i i 333 479 0 i 593 632 i 37 i i i i i i i i 119 i i i i 388 i i i 259 i i 36 i i 758 i i 132 407 i i 918 989 i i i i 220 i i i 818 i 613 93 i 139 i i i 321 i i 754 i i i 206 i i i i i i 694 i 691 i i i 709 674 i i i 743 i i 714 i i i 81 144 97 i i 863 588 i i i i i 172 560 i i i i i i i i i 465 i i i i i i i i 444 318 i i 23 i i i i i i i i i 328 i 598 i i i i i i i i i 977 49 i i i 886 i i 237 686 i i 778 i i 52 i i 430 i i i i 84 i 195 i 929 750 i i 95 286 i i i i i i i 179 i i 311 i i 5 i 
i i i i i i i 512 0 i i i i i i 574 i i 821 i 45 i i 744 i 759 i i 80 i i 699 28 i 334 927 97 721 i i i i 981 i i i i i i i i i i 337 i 569 i i 491 718 i i i 126 i i i i 584 392 371 919 626 i 726 i i i i i 281 i i i i 688 i i i i 161 676 i i i i i i i 63 163 596 i i 675 i 304 i i i i i i i i 276 813 i 859 i i 99 i i i 962 i 595 i i 879 578 i 316 i 630 i i i i i i i i i i i i i 44 465 i i i 842 715 i i 208 i i i i i i i i 912 i 595 972 i i 584 i i i 72 i i i 861 i i i i i i 98 i 639 i i i i i i i i i 
721 762 371 i 245 i i i i 0 i 606 i i 814 171 i 956 i i 900 46 i i i i i i 614 i i 1 i i i i i 923 i 949 i i i 975 i i i 100 i i i 378 i i 713 4 448 i 292 i i i i 433 558 231 i i i i i i 393 i i i i 622 19 i i 112 i i i i i i i i 816 i i 779 i i i 720 349 i i i i i i i i i i i 715 i i 148 i 770 105 i 720 i 956 i 403 i i i 651 i 115 558 i 957 414 i i i i i 120 i i i i i i i i i i i i i 679 675 i i i 955 511 i 477 217 i i 344 i i i i i 645 i i i 381 i i i 948 i i 485 i 558 i i 108 i i 548 i i i i i i i i i i 
i 517 i i i 526 i i i 791 0 i i i i i i i 427 105 i i i i i i i i 935 i 969 i i i 738 i 165 i 299 i i i i i i i i 211 i i i i i i i i i i 520 i i i 848 367 i i i i i i i i i i i i 483 7 527 i i i i i 409 922 i i 757 i i i i i 510 i i i 273 i i i i i i i i i i i i 495 i 28 208 i i i i 188 788 i i i i i i i i i i i i i i 135 i 119 i i 659 i 330 823 33 i 746 i i i 160 465 i i i 281 i 1000 i 235 i 678 340 i i i i i i i i i i i i 205 i i i i i i 659 542 i i 242 i i i i 439 i i i i i 960 i i 
i i i 862 i i i i 360 660 i 0 i i i i i i 740 i 519 i 301 i i 143 i i 692 i 202 i i i i 559 i i 47 i 179 i 442 i i 362 i 407 484 i 929 i i i i i i i i 125 i 639 489 i i i 311 i 53 i i i i i i i 176 i i i 8 i i 841 i i i i i i i i i i 913 i i 923 i 739 i 55 303 i i 996 i 222 i i i 363 i i 37 510 i i i i 620 i i 14 682 i i 537 i 11 177 i i 896 351 i 324 i i i i i i i 47 223 i i i i 844 i i 433 i i i i i i 354 i 745 i i 705 i i i i 693 i i 759 899 i i i 178 360 i i 267 i i 394 i i i i i 573 780 i i 230 i i 253 i 
i i i i i i i 752 i i i 670 0 i i 796 i i i 924 i 436 i 935 i 946 i i i 695 i i i 448 i i 206 i i i i i i i i i 585 i i i i i 438 i i i 542 833 i i i i i 875 i i i 828 i i i i 994 i 704 i 104 72 i i 1000 i i 773 i 4 i 126 i i i 345 i i i i 982 i i 580 350 496 115 i 545 i 303 75 536 i i i 297 i 122 i 564 820 852 i 334 41 636 i i i i 902 635 i i i 627 i 356 i i i i i 229 i i 33 i i i i i i i 426 388 756 i i i 767 i i i i 953 i i 929 i i 457 936 798 i 304 548 794 i i i i i i 640 i i i i 515 i i i 978 i i 336 i i 936 117 i i 
i 256 i i i i i i i i i i 153 0 i 778 i i 748 i i i 805 i i 469 i i i 237 474 i i i i 535 i i i i i 730 i i i i i i i i i 39 i i i i 16 i 619 i 376 i i 743 409 i i i 233 101 i i i i 299 i 993 i 314 56 i 285 i i i 96 i i i i 117 i i i i 433 873 i i i 428 i i 954 i i i i i 318 i i 751 i i i i i i i i 362 962 i 386 i i i 531 i i i i i i 986 333 i i i i i 395 i 760 i i i i i i i i i 388 i 355 867 i 574 i i i 620 i i i i i i i i 184 179 i i i i i 504 i i i i i 391 i 30 i i 730 i 373 727 i 613 i 618 183 i 
i 631 808 912 i 451 i i i i i i 677 i 0 i 903 811 i i i i i i i i i i i i i i i i 750 600 i i i i i i i i i i i i i i 228 i i i i 761 95 i i i i 242 i i i i i 214 i 13 i i 893 i i i i i 384 550 i 757 3 452 i i i i i i i i 187 i i i i i i i 113 i i i i 618 i i i i 387 i i i 651 i i 689 i i i i i i i i i i 649 i 585 i 700 i i 919 i i i i i i i 997 i i i i 379 i i i i i i i i 523 i i i i i i i i i i i i 31 i i i i 332 574 827 553 i 833 i i 462 745 i 998 i i i 23 924 i 241 i i 501 i 11 i 
i i i 771 i 987 11 723 273 466 i i 514 i i 0 i i i 527 545 406 i i i i i i 194 789 i 714 i i 287 159 i 590 i 317 i i 249 i 909 i 556 i 642 i 639 i i 884 i i i 997 i 451 596 922 535 951 9 i 329 i i i i i i i i i 20 i i 625 967 60 661 299 579 i 139 i i 648 336 i i 282 762 i 768 i i i i 614 i i i 932 568 i i i 227 233 i i 663 731 437 i i i 276 i i i i 242 398 i i i i i i 485 i i i i 645 i i 498 i i i 57 96 i 81 i 224 380 i i i i i i i i i i i i i i i 825 i i 556 i i i i 304 196 i 924 i i 910 13 i i i i i 893 666 i i 984 i 191 i i i i i 
899 i 309 565 i i i i i 66 i 454 i i 751 748 0 i i i i 82 i 799 150 i i i i i i 775 i i i 590 i 618 i 257 i i i 355 389 i i 166 205 i i 331 i i i i i i i i 708 i i i i i 747 i 584 i 268 i i 365 i i i i 611 i i i i i 83 i i i i i i i 265 i i i i i 558 i 499 i i i i i 672 i 334 i 613 i 666 136 178 i i i i 84 i i i i i i i i i 330 817 i 688 i i 986 i i i i 235 150 i i i i i i i i i i i i i 247 i i i 552 135 i i 540 i i i 494 i 402 i i i i i i i i i i 674 667 i 346 i i 273 466 i i i i i 326 781 i i 172 65 i 
i i i i i i 703 i i i i 659 i 924 10 919 i 0 i 259 971 i 683 i i i i i i i i i 484 365 i i i i i i i i i i i i i i i i i i i i i i i i i i i 179 i 880 i i 721 i i i i i 455 i 123 367 778 i i i i i i 429 i i i i 712 i 993 i 419 437 i i i 881 i i i i i 322 374 i i i i i i 297 i 905 396 641 619 i i i i i i 876 359 i i i i 223 i i i 58 i i i 312 i i 958 i i 752 i i 463 i i 878 i i i 436 558 i i i i i i 150 i i i i i i 13 i i i 52 755 i i i 940 i 342 i i i 797 i i i i i i 335 i 76 i 444 i i i i i 
88 i 96 i 606 i 873 52 i i i 387 i 171 i i 806 i 0 725 i 339 i 374 i 653 149 i i 69 i i i 459 i i 891 i 411 i i i 591 i 680 339 i 349 i 993 i i 446 i i i i i i i i i i i i i i 621 i 843 339 511 i i 550 i i i i i i i i i i 709 908 880 205 i i i i i 890 i i i i 579 i 908 i i i i i i 820 i i i i i i 308 i 316 1000 601 i i i i i i i 133 557 i 526 i i i i 60 i i i i i 687 i 975 223 i 655 i i 181 i i 286 i i i i i i 215 i i i i i i i i 562 i i i i i i i i i i i 344 758 i 863 i 456 783 i 566 i 35 i i i i i i i 819 i 
