0 i i 430 i 936 i 673 i 191 758 i i i i i i 506 485 i 783 i 557 i i 104 974 i 95 i 985 i 596 i 545 i i 264 i 17 i 124 i 605 i i 800 i i 85 
662 0 i i i i i 639 415 i 92 i i i i 736 i i i 989 i i i i i i i i i i i i 355 i 900 i 253 10 956 899 i i i i i 305 i 353 363 i 
i i 0 i 924 i i i i i i 406 i i i 481 i 828 i 49 823 571 709 i 190 i i i i i i i 691 i 96 219 i i 922 i i i i 888 i 218 i i i i 
i 264 i 0 i i i i i i i i i i i i 860 807 i 766 i i i 6 i i i 984 i i 10 i i i i i i 288 i i i 302 i i i 855 271 i 717 i 
i i i i 0 i i i i i i i i 432 i 750 i i i i i 791 i 27 101 i i i i i i 401 i i 12 16 i 530 237 i i 493 i i i 304 i i i i 
585 i 396 773 996 0 169 i i 151 i i i i i 392 i i i i 418 i i i i i 346 i i i i 902 609 136 901 790 874 795 i i i i 977 695 i i i i 216 i 
i 522 i i i i 0 i i 342 i 737 859 i i i i 466 i i 982 i 304 i 629 i i i i i i i 978 i i i 504 i i 73 i i i 685 i i i i i i 
i i i i i 99 85 0 i 470 i i 373 i 14 568 i i i 323 i i i i i i i 832 132 i i 444 i i 670 351 i 370 i i i i i i i 541 i i i i 
i i 850 i 963 i 34 i 0 900 i i i i i i i i i i i i i i i i 605 i i 773 i i i 355 281 i 706 496 i i i i i i i 509 i i i i 
i i i 537 i 174 i i i 0 i 103 i i i i 60 i i i i 20 i i i i i 865 i i i 412 i 439 287 i i i i 301 i 671 i 667 386 856 i i i i 
i i i i i i i i 923 i 0 i i i i i 221 259 i i 240 i i 330 725 i i 898 i i 148 i 933 i i i 686 i 57 i i i i i i i i 588 850 i 
i i i i i i 585 i 146 848 678 0 310 i i i 692 350 i i 529 660 i i i i i 599 i i i i i 936 188 i i i 156 i i i i 569 i 251 328 i i i 
i i 778 802 i i 298 i 472 i i i 0 i i i i i i i i i i 290 i i i 264 i i 534 i i 24 946 i 897 970 i i i i 210 758 i i i 540 i 658 
0 i i i i i i i 528 i i i i 0 i i 803 i i i 370 i i i i i i 625 779 i 301 i i i i i i 707 i i i i i 848 i 845 588 i 537 i 
803 i i i 368 i 274 i 833 i i 216 134 594 0 i i i i i 327 i i 998 i i i 914 i 143 i i 201 924 i i i 540 i i i i i i i i i i i i 
i i 729 i 523 i 204 604 i i i i i i i 0 i i i i 205 i i i i i 79 786 920 i 666 i i i i i i 405 919 457 i i i i i i 159 i i i 
603 i i i 2 i i 21 i i 430 846 i i 124 i 0 i i i 712 75 i i i 579 i i 389 i i i i i i i i i i i i 636 i i 100 i i i i i 
i i i i i i 346 i i i i i i 565 680 i i 0 21 i i 446 12 i i 68 i i 868 i i i i i i i 535 i i i i 534 i i i i i i i i 
i 124 316 474 i i 55 i i i 701 598 i 224 726 i i i 0 642 i i 873 i i i i i i i i i i i i i 608 i i i i i i i i i 444 i i i 
i i i 963 i i i i i i i i 485 371 i i i i i 0 i i i i 502 311 412 i i i 442 i i i i i i 681 i 622 756 i i i i i i 793 i 558 
i i i 136 414 i i 975 123 i 829 i i 196 624 i i i 708 i 0 897 i i 370 i i i i 397 845 i i i 948 275 i 732 i 415 i i 427 781 256 i 379 853 i i 
i i i i i i i i i i i 792 129 i i i 387 i i i i 0 i 936 i i 940 i i i i 238 i 313 275 604 i 894 677 i 80 i i 998 534 i 564 i i i 
i i i i i i 902 i 940 i i i 594 i i 712 i 626 i i i i 0 407 314 i i i 643 i i 133 i 979 i 334 i 766 480 i 531 547 i 873 i i i i 258 210 
