0 i i i i 971 995 436 i i i i i 232 i i i i i i 927 944 i i i 403 i 622 i i i i i 988 i i i i i i i 630 608 513 i 890 i i i i i 901 i i 698 82 i 640 864 i i 108 530 i 120 i i 837 i i i 408 i i i 8 i i i i i i 295 55 i 784 441 751 669 458 i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i 756 i i i 957 i 461 i i i i 160 i i i i 315 i 743 i 32 i i 961 i 398 420 i 346 690 i i i i i i i i 533 437 i i i i i i i i i i i i i 726 i i 707 765 i i 314 100 332 i 812 i i i i i i i 437 i i 459 904 99 i 62 i i i i 277 i i i i 146 i 118 i i i 442 i i i 136 i i i 662 116 765 140 562 i 967 i i i i i i i 418 i i 18 994 i i i 943 i 338 541 278 i 640 i i i i i i 870 i i i i 21 i i i i 866 i i i i 395 i 726 i i i i i i 947 i i i i i i i 582 i i 533 i i i 639 308 i 376 i i i i i 75 i 185 i i i i 660 i i 787 i 337 i i 745 i 99 i i i i i i 209 736 i i i i i i i i 3 156 i i i i i 442 i i 372 901 i i i 372 590 i 58 437 936 i i 732 750 i i i i 984 i i i i i i i i i i 341 i i i 367 i i 6 i i 775 i 389 332 i i i i 265 i i i i i 140 i 447 609 i i 936 750 756 i i i i i i 536 i i 701 i i i 467 i i i i i i i i 349 i i i i i 808 i 377 i i 34 i i i i 385 i 108 i 440 172 i i i i i i i 312 i i i i 487 i 511 i 420 i i 119 i i i 550 i i i 611 i i i i i i 604 324 i i i 848 
i 0 i i i i i 848 i i i i i i i i 312 874 i 820 346 i i i i i i i 805 657 842 i 162 i 747 i i i i i i i i i i i i i i i 608 i 655 i 442 i i i 572 i i 320 i 668 i 359 i 457 i i i 355 758 i i i 330 i i i i i i 416 i i i i 362 382 i i i i i 568 i 570 i 129 165 i i 848 530 i i i 386 i i i i 986 i i i i i i 376 i 262 i i 120 i i i 420 i i 975 839 i i i i i i i i 426 i i i i 635 75 i i 567 i i i i i 630 i i i i i i i i i 829 i i 861 948 440 43 i i 840 i 900 i i i i i i i i i 939 i i 975 326 i i 68 i i i i i i 55 i i i 851 i 855 i i i i i i 254 151 i i i i i i i 961 i i 848 0 929 i i i 222 94 i i i i i i 475 793 i i 442 i i i i i 234 i i i i i 906 i i i i 620 740 i i i i 477 i 748 i i i 295 i i i 122 i i i 320 i i i 502 925 i i i i i i i i i i i i i i 860 i i i 234 i i i 623 i 968 i 511 990 i i 324 i 80 489 i i i i i i i i 569 i i i i 582 i 912 412 i 162 i 754 i 19 i i 72 817 i i i i 769 i i 25 659 i i 765 i i i 106 i i i 74 i 791 i i 26 i 861 788 i 974 i 164 i i i i 290 i 28 i i i 820 i i 422 i 316 i i i i i i 981 i i 16 i 425 71 i i i i i 128 461 i i i 253 i i i 912 i i i i i i i 52 126 i 707 i i 737 i i i i i i 832 i i i i i i 838 i 59 i i i 349 i i i 71 652 i i 706 i 977 339 i 615 i i i i i 998 1000 490 i 133 i 600 i 300 i 139 i 767 388 i i i i i 896 i i i 
i 465 0 i 839 i 420 i i i i i i i i i 679 i i 518 i 206 i i i i i 690 i 199 i i 870 41 i i i i 77 i i i i i i i i 229 0 289 i i 808 529 403 i i i 582 i i 478 i 384 i i i 466 211 i 828 i i i i i i i i i i i i i i i i 1000 803 880 i i i i i 56 i i 875 834 877 i 458 418 182 i 851 i i i 175 i i i 526 i i i i i i 411 i i i i i i i i 706 i i 471 i i i i 449 i i i i i i i 1000 727 i i i i i i 368 i i i i i i i 342 i i 965 i i 193 i i i 989 i i i i i 413 321 i i i i 665 i i 619 614 162 308 i i i i i 857 i i i i i i i i 907 174 i 242 i i i 202 i i i i 205 i i i i 322 i i 431 i i i i i i i i i 509 i i i i 248 573 i i 315 i i i i i 995 i i 660 600 i 114 i i 836 i 633 567 i i i i 429 i 386 i i i i i 93 i 667 i i i 91 i i i 644 i i i i 924 i i i i i i 727 887 i 22 137 i 553 i 615 i i i 408 i 785 168 810 3 675 i i i i i i i i i 129 276 i i i 254 i 442 914 918 i i i i i i i i i 153 i 79 415 i i i i i i i i 443 i i i i i i i i i i i i i 398 143 684 i i i i i 205 i i 806 492 308 853 734 i i i i i i i 793 i 210 i i i 572 i i i i i 14 i i 504 i 34 730 i 849 228 i 427 i 580 i i i 15 i i i i 889 750 i i 381 i i i i i i i 238 314 i i 972 i i 258 i i i i 772 i i i 32 i 615 i i i i i i i i i i 764 i i i i i i i 535 i 528 i 110 i i i i 302 345 i i i 693 388 i 898 707 45 i i i i 
i 97 157 0 i i i i i i i i 573 i i i i i i i 834 66 212 i i i i i i 909 i 18 938 286 i i i i i i 311 611 i 511 i 844 508 524 i i 508 i 881 i 971 i i i i i i i 906 i i i i 754 i 533 i 671 i i 276 i 518 190 i i i i 973 950 i i 391 875 i 317 i i i 309 756 i i i 473 i 52 i i i 51 i 748 i 8 3 i 253 i i i 541 302 i 400 i i 229 i 941 i i i i i i 369 i i 935 551 i i i i 736 i i i i i i 53 i i 583 i 398 i i i i i i i i i i i i i 641 323 i i i 296 466 982 i 3 i 628 i i i 233 568 i 227 603 i 144 i 809 i 635 i i 419 i 181 i i i i i i i i i 849 i i i i i 575 i i 169 i i 553 i 743 i i 452 i i i i 490 i 893 i i i i 406 i i i 452 940 750 985 i i i i i i i i i i 833 i i 281 i 879 i i i i i 288 i 913 i i i 605 i i i 605 i 473 i i 419 i i i i i i 485 i i i 168 325 557 i i 819 i 733 i i i i i 954 i i i 122 i i i i i i i i i 839 i i i i i i 903 i i i i i i i i 978 i 368 i i i i i i i i i i i i i 669 i 766 i i i 9 i i i i 287 i 201 i i i i i i i i i 391 i 828 i i i 97 i 429 388 970 i 609 902 i i i i i i i 129 i i i i i i 333 i i i i i i 473 i i i i i i 864 i i 296 455 i i 221 i i i i i 980 i 192 i i i 340 i i i i i i i 802 19 i i i 408 i i i i i i i i 891 i i i 579 i i i i i i i 780 312 i i i 591 i i i i i 630 i i i i i i i i i i i i i i i 800 i i i 38 893 632 
i i i i 0 i i i 873 611 i 313 i i i i i i 167 i i i i i i 949 257 i i 553 530 13 i 132 i i i 98 i i 635 i i 414 i 996 i i i i i i i i i i 429 i i 345 252 583 i i 807 557 i i i i i i i i i i i i i 358 i 995 902 i 129 i i 454 i i i i i 982 i i 981 i 555 i 817 i i i i i i 499 i i 144 i i i 764 627 i i i 46 12 i i i i i 632 i i i i i i 873 i i i i 685 33 i i i 395 i i i i i 149 i 703 i i 166 i i 762 i i i i i i i i i 358 i i i i i i i i i i i 686 i i i 989 i i 818 190 i i i i 653 i i i i i 577 i i i i i 835 601 i 461 i 155 i i 731 i 826 i i i 549 958 367 265 i i i i 827 135 i 852 288 545 335 900 420 764 i i i i 684 i 540 i i i i 162 i i i i i i i i i i 641 i 34 i i i i i 295 i i i i i i i i 32 i i i i 650 i 650 127 i i i 439 629 i i i i i 223 i i i 110 i i i i 181 706 i i i i 244 i 51 i i 135 i i i i i i 34 281 187 855 745 i i 669 i 679 i i i i 235 939 i i 996 i i i i 872 i i i i i 552 380 i 759 i i i i i i i i i 787 i i i 314 i i i i i 602 i 855 i i i i i 343 i i 413 i i i i 53 897 450 i 429 i 354 i i 935 i 384 i 716 i i 582 796 871 i 834 i i i 141 271 710 i 709 i i 9 i i i 658 i i i i i i i 392 129 i 688 i i i 515 853 i 767 i 52 i i i 320 i i 330 i 645 i 56 i i i 517 15 969 i i 678 i i i i i i i i 175 176 i i 935 290 i i 241 i i 485 i i i 24 370 883 i i i 318 721 i 539 468 690 
248 i i 527 i 0 422 430 i 354 i 816 i i i i i i 31 672 706 i 72 155 i 700 i i i i 133 i i i i i i i i 507 i i i i i i i i i 215 i i i i 766 i i i 45 i i 851 i i i i i 467 i i i i i i i 536 i 763 i i i i 184 i i i i i 362 i i i i i i 430 742 234 i 649 i i 330 i i 921 556 i i i i i 928 i i i i i i i i i i i i i i i i 579 i i 59 558 i i i 777 i 599 i i i i 417 i i i i i 877 i i 684 i i i i i 219 i 814 936 i i i i 455 234 i i i i i i i i i i 620 i 851 i i i 64 i i i 95 i 670 i i 828 i i i i i i 864 i i i i i i 808 i i i i i i i i i i 859 i i i i i i i 571 i i i 921 i i 434 673 332 i i 863 i 5 i 643 i i i 413 i i i i i i 452 418 i 315 i i 366 i i i i i i 178 653 i 627 640 i 656 i i i i i i i i i i i i i i i i i i i 613 i i i 610 307 670 i i i i i 248 i i i i i i i i i i i i i i i i i 120 593 593 i i i i i 633 i i i 966 i 808 i i 545 i i i i i i 314 i i i i i 372 i 821 i i i i i i i i i i i i 73 i i i i i 236 i i i 630 i i i i i i 894 i i 887 i i 331 i 49 i i 871 i 690 802 i 117 i 937 i 851 983 i i i i i i i i i i i 953 923 i i 396 i i i i 816 757 i 361 i i i 116 i i 653 i i 936 i i i i i i i i i i i 329 797 528 i i i 514 189 i 778 i 102 i i i i i 902 i 62 319 79 741 504 i i i i i i i i 361 i 234 285 783 723 752 i i 319 682 i i 266 i i 
866 i 320 i i 360 0 980 599 389 396 i 900 i i 169 202 i i 322 i i i i 525 i i i i i i i i i 35 637 i i i 777 i i i i i 276 423 i i 580 i i i i i 333 289 i i i i 526 i 247 169 i 316 i i i i i i 706 i 893 i i i i i i 174 i i 286 i i 390 996 517 i 322 i 820 88 i i i i 49 i i i i i 873 605 i i i i i 544 219 i i 371 i i 25 415 i 978 820 i i i i i i i i i i i i i 866 i 870 i i i i 243 i i i 406 i i i i i 164 482 i i i i 173 i 342 817 i i i i 115 798 i 755 i 943 i 792 i i i 20 88 469 i i i i i i 79 i i 400 i i 834 730 683 i i i 142 417 i 143 i i i i 567 i i 301 119 592 i i 125 i i i 123 492 i i i i 997 i i i 23 i i 981 i i i i i i i i i 145 i i 889 i i 775 i 932 i i 890 i 562 i i i i 221 i i i i 547 i i i i i i i 692 i i i 555 760 990 i i 27 891 i i 582 i 651 i 122 i i i i 773 i i i 355 i 323 422 743 i i 363 i i 311 137 762 0 i 686 i 478 i i i 539 i 340 732 i i i i i i 408 i i 243 i i i i i 9 171 677 i 802 i i i 775 i i i i i 370 i i i i i i i 122 i 113 i i 259 i i i i i 511 i 246 i 520 i 652 967 130 i i 818 i i i i 808 453 i i 790 i i i 995 i i 402 i 951 i i i 692 i 462 i i i i 972 i 71 i i i 374 301 i 557 i i i i 933 i i i i i i 974 i i i i i i 626 i 165 424 402 i i i 20 i i 343 i 820 i i i i 760 i 866 i i i i i 785 i 365 i 110 64 i i i i i 600 i i i i i 232 i i i i i 358 i 214 451 i i i i 616 
i i 614 437 i i i 0 i i i i i 845 i i i 846 433 i 987 i i 480 i i i i i i i i 682 i 422 i 486 i i i i i 299 i 2 i i 875 i i 617 681 i i 706 i 662 i i i i 891 i i 493 i i i i i 965 i i i i i i i i i i 539 i i 351 i 230 758 260 498 i i 196 i i i i 715 i i 479 43 i i i i i i i i i i 972 i i i i i i i i i i i 151 i i i i i i i i i i i i i i i i 201 i i i i i i i i i i 934 507 i i i i 193 i 203 i 132 i i i i i i 531 i i i 611 i i i i i i 376 i i 520 i i 226 i i i i i i i i i i 475 508 i i i i 826 i 429 845 i 18 179 423 617 i 764 i i i 975 i i i 140 i 311 i i i i 100 i i i i i i 526 i i i i i 418 i i i 226 i 241 i i 675 i 20 i 897 543 i i i i i i 316 i 910 i i i i i 525 i i 681 i 218 146 i 795 i 355 i i i i i 974 714 i i 311 i i i 487 i i i i i 40 i i 924 i i i 272 i i i i i i i 180 i i i 777 i i i 866 i i 845 i i 495 i 14 i i i i i i i i 442 i i i 797 172 i i i i i i 184 i i 146 503 i 292 515 745 191 i i 344 i 224 i 586 i 38 i 825 i i i i i i 561 i i i 328 483 427 i i i i 482 i 366 i i i i i i 647 i i i i 863 166 317 i i 629 i i i 729 807 75 i i i i i i 50 i 246 735 737 979 i i i i i i i 566 i i i 25 i i i i 210 909 i i i i i i i 886 i i 832 i 777 i i 164 i i 759 i i i i i i i i i i i 520 696 i i i 153 i i 503 i 560 i i i i i i i i i 529 52 987 i 
i i 260 111 952 651 i i 0 i 428 544 i i 668 i 496 i i i i i i i i i i 2 i i 260 i i i i i i i 486 689 887 i 78 i 247 i i 181 468 i i 532 i i i i i 415 i 556 155 i i i i i i 205 524 i i i i i i i i 868 732 615 i 573 611 i i i i i 915 i i i 160 i i i i i 191 i i i i i i i i i i i i i i i 387 96 i i i i i 233 i 940 919 i i i i i i i i i i 134 i 451 i i i i i 572 i 673 i i i i i 356 i i 335 i 766 i i i i i i i i i i 866 169 i 936 i i i i i i 731 i i i 160 i i i i i 15 i i 401 i 671 i i i i i i 617 i i i i 779 i i i 31 i i i 352 i i i 114 i i i 86 106 i 368 i i i 426 558 i i i i i 994 121 505 689 i i i 588 i i i i i i i i i i i i i i i i i i i 777 i i 463 i i i i i i 320 i 532 i 313 920 i i i i 112 80 i i 819 i i i 80 i i 933 i i i i 29 421 189 i i i i i i i 333 713 i 388 i i i i i i i 375 i i i i i i i i i i i i i i i i 424 315 i i i i i i i i 258 i i i i 373 960 i 471 i 457 545 i i i i 178 i i 185 i i i i 671 i i i 586 i 553 i i i 823 i 66 i i i i i 33 i i i i i i 388 450 2 521 i i 693 i 249 i 96 i i i i i 496 945 i i i i i i i 853 132 i i i i i i i i 617 i 757 i 666 i i i i i i 62 396 i i i 980 493 532 i i i 38 i 755 i i i i i 37 738 i 958 618 i 428 i i i i i i i 542 i 632 i i i 487 211 181 i i i 754 344 i 304 435 i 330 i 888 i i i i i 788 
i i i 894 26 i i i i 0 i i i 343 i i i i i i i 175 i 162 i i i i i i i 999 i i i i i i i i i i 1000 i i 422 i 200 563 i 974 i i i i i i 804 i i i i 228 244 i 940 376 i 602 936 i 67 i i i i 893 i i 355 623 i i i i i 817 i i 212 i i 825 642 256 85 i i 146 i 292 282 688 596 i 416 i i i i 538 467 i 576 747 279 i 770 i 5 i i i i i i i i 141 95 i i i i i 270 i 527 i i 60 i i i i i 793 i i i i 500 i i i 571 i i i 311 854 i i i i i 592 547 809 i 275 87 i i i 436 587 693 i i i i i 470 57 i 387 i i 974 526 663 i 619 303 i 417 i 394 237 423 i i 925 114 i i i 852 781 494 865 i 774 i i i i i i 947 i i i i i 974 393 i i i i 708 i 313 i 40 i i i i i i i 668 i i 571 173 i i i i i i 885 766 i i 45 706 i i i i 821 62 i 197 i i 146 i 920 66 i 240 996 883 i 254 i i 349 i 192 653 i i 14 i i i 24 i i i i i 681 i i i i 772 i i 126 524 212 i i 63 i i i 758 i i i i i 897 i 768 i i 753 397 i i i i i i i i i i i 560 i 267 395 i 260 553 i i i i i i 208 i i i i i 588 939 i i i 552 i i i i i i i i i i i i 14 i 599 i 269 881 i i i 635 17 i i i 129 455 933 i i i i 892 727 i i i i 557 i 249 107 i i i i i 327 i i i 957 i i 135 319 i i i 716 i i i i i i i i i 630 i i i i i i i i 758 i i i i i i i 957 i i i i 16 i i 576 i i i i i i 678 263 i i i i 896 i i 945 i i i 695 i i 23 i i 150 154 i i 44 991 i 376 i i i i 681 i 
i i 960 i i i i 98 i i 0 i 25 i i 873 i 329 i 950 i i i i i i i 115 i i 790 948 i i 308 560 i i i 468 678 i i i i i i 755 950 i i i i i i i i 237 398 i i i i 571 i i i i i 493 i 904 i i i i i i i i i i 499 387 59 i 790 i i 518 42 544 516 i i i 547 i i i i i 552 i 687 354 i 111 891 106 810 17 414 328 i i 858 823 286 i 380 i 503 i i i i 150 i i i i i i 123 218 i i i i 124 463 i 901 i i i i i i i 746 i i 97 162 916 i i 924 923 i i i i i i 440 i 292 811 272 i i i 500 i i 61 i i 977 564 i i i i i i i 457 i i i i i i i 847 i i i i i 828 i 434 i i i i i i i i 487 i 384 336 i i i i i i i i i i i 151 i i i i i i 724 325 i i 664 523 i i 702 i i i i i i i i i i i 729 i i i i 191 582 279 147 i i i i i i i i i 667 i i i 99 i i 44 i i 716 i i i 171 i i 475 i i 522 i i i i 325 i i i i i i i 347 i 87 889 76 i i i 719 691 504 i i i 228 i i i i i 684 952 809 664 i i i 266 i i 625 i i i 880 i 905 981 i 791 i i i 287 891 i 740 i 799 756 i 577 i i 92 i i i i i 965 256 i 847 i i i i 891 713 181 712 i i i i i i i i i i i i 501 i i i i 721 i i 402 269 i i 715 i i i i i 555 i i i i i i i i i 298 i 563 i i i i i 74 i i i i i 539 i i i i i i 75 289 i i 861 431 98 461 i 938 757 i 892 629 i i 997 i 792 i 130 i i i i i i i i i i 569 i i 245 i 649 i i 91 i i i i i 130 303 561 i i i i 878 i i i i i 177 
